category_level3_id,category_level3_name,category_level1_name,category_level1_order,category_level3_order
"""737,794,870""",空调,家用电器,A01,100
"""737,794,798""",平板电视,家用电器,A01,101
"""737,794,880""",洗衣机,家用电器,A01,102
"""737,738,898""",净水设备,家用电器,A01,103
"""737,738,750""",饮水机,家用电器,A01,104
"""737,738,751""",电风扇,家用电器,A01,105
"""737,738,12394""",扫地机器人,家用电器,A01,106
"""737,738,749""",净化器,家用电器,A01,107
"""6728,6740,6807""",净化器,汽车用品,A01,107
"""737,738,745""",吸尘器,家用电器,A01,108
"""6728,6740,6752""",吸尘器,汽车用品,A01,108
"""737,738,747""",取暖电器,家用电器,A01,109
"""737,752,755""",料理/榨汁机,家用电器,A01,110
"""737,752,13116""",榨汁机,家用电器,A01,111
"""737,752,881""",电压力锅,家用电器,A01,112
"""737,752,757""",电磁炉,家用电器,A01,113
"""737,752,758""",微波炉,家用电器,A01,114
"""737,752,753""",电饭煲,家用电器,A01,115
"""737,13297,1706""",热水器,家用电器,A01,116
"""737,13297,1300""",油烟机,家用电器,A01,117
"""737,794,878""",冰箱,家用电器,A01,118
"""6728,6740,6753""",冰箱,汽车用品,A01,118
"""737,1276,739""",剃须刀,家用电器,A01,119
"""737,1276,963""",足浴盆,家用电器,A01,120
"""737,1276,740""",电吹风,家用电器,A01,121
"""9987,653,655""",手机,手机,A02,100
"""9987,830,13658""",移动电源,手机,A02,123
"""9987,830,862""",手机耳机,手机,A02,124
"""9987,830,13660""",充电器,手机,A02,125
"""9987,830,13661""",数据线,手机,A02,126
"""9987,830,863""",蓝牙耳机,手机,A02,127
"""670,716,717""",打印机,电脑、办公,A03,128
"""670,716,722""",投影机,电脑、办公,A03,129
"""670,699,702""",交换机,电脑、办公,A03,130
"""670,699,700""",路由器,电脑、办公,A03,131
"""670,12800,12801""",游戏机,电脑、办公,A03,132
"""670,686,692""",摄像头,电脑、办公,A03,133
"""670,686,693""",移动硬盘,电脑、办公,A03,134
"""670,686,694""",U盘,电脑、办公,A03,135
"""670,671,673""",台式机,电脑、办公,A03,136
"""670,671,2694""",平板电脑,电脑、办公,A03,137
"""670,671,1105""",游戏本,电脑、办公,A03,138
"""670,671,672""",笔记本,电脑、办公,A03,101
"""1319,1523,7052""",婴幼奶粉,母婴,A04,140
"""1319,1524,1533""",米粉/菜粉,母婴,A04,141
"""1319,1524,12191""",宝宝零食,母婴,A04,142
"""1319,1525,7057""",婴儿尿裤,母婴,A04,143
"""1319,1525,1546""",拉拉裤,母婴,A04,144
"""1319,1525,1548""",湿巾,母婴,A04,145
"""1319,1526,7060""",奶瓶奶嘴,母婴,A04,146
"""1319,1526,1550""",吸奶器,母婴,A04,147
"""1319,1527,1556""",宝宝护肤,母婴,A04,148
"""1319,1527,1555""",宝宝洗浴,母婴,A04,149
"""1319,4997,4999""",防辐射服,母婴,A04,150
"""1319,1528,1563""",婴儿推车,母婴,A04,151
"""1319,1528,1564""",婴儿床,母婴,A04,152
"""1319,1528,1568""",学步车,母婴,A04,153
"""652,12346,12356""",复读机,数码,A05,154
"""652,12346,838""",电子词典,数码,A05,155
"""652,12346,840""",录音笔,数码,A05,156
"""652,12345,12807""",无人机,数码,A05,157
"""652,12345,12354""",体感车,数码,A05,158
"""9855,9859,9927""",智能家居,家装建材,A05,159
"""652,12345,12353""",智能家居,数码,A05,159
"""652,12345,12351""",健康监测,数码,A05,160
"""652,12345,12350""",运动跟踪器,数码,A05,161
"""652,12345,12806""",智能机器人,数码,A05,162
"""652,12345,12349""",智能眼镜,数码,A05,163
"""652,12345,12348""",智能手表,数码,A05,164
"""652,12345,12347""",智能手环,数码,A05,165
"""652,828,13662""",便携/无线音箱,数码,A05,166
"""652,828,841""",音箱/音响,数码,A05,167
"""652,828,842""",耳机/耳麦,数码,A05,168
"""1320,5019,12215""",牛奶,食品饮料,A07,169
"""1320,1585,9434""",牛奶乳品,食品饮料,A07,170
"""1320,5019,5020""",饼干蛋糕,食品饮料,A07,171
"""1320,1583,1595""",饼干蛋糕,食品饮料,A07,171
"""1320,5019,5021""",糖果/巧克力,食品饮料,A07,172
"""1320,1583,1594""",糖果/巧克力,食品饮料,A07,172
